name,type,resourceGroup,location,publicEndpoint,vnet,subnet
privatelink.servicebus.windows.net,Microsoft.Network/privateDnsZones,rg-hbai-lz2,global,,,
id-apim-oygf3jjanv6um,Microsoft.ManagedIdentity/userAssignedIdentities,rg-hbai-lz2,swedencentral,,,
privatelink.blob.core.windows.net,Microsoft.Network/privateDnsZones,rg-hbai-lz2,global,,,
privatelink.cognitiveservices.azure.com,Microsoft.Network/privateDnsZones,rg-hbai-lz2,global,,,
privatelink.file.core.windows.net,Microsoft.Network/privateDnsZones,rg-hbai-lz2,global,,,
privatelink.vaultcore.azure.net,Microsoft.Network/privateDnsZones,rg-hbai-lz2,global,,,
privatelink.table.core.windows.net,Microsoft.Network/privateDnsZones,rg-hbai-lz2,global,,,
privatelink.openai.azure.com,Microsoft.Network/privateDnsZones,rg-hbai-lz2,global,,,
privatelink.queue.core.windows.net,Microsoft.Network/privateDnsZones,rg-hbai-lz2,global,,,
privatelink.monitor.azure.com,Microsoft.Network/privateDnsZones,rg-hbai-lz2,global,,,
privatelink.documents.azure.com,Microsoft.Network/privateDnsZones,rg-hbai-lz2,global,,,
privatelink.azure-api.net,Microsoft.Network/privateDnsZones,rg-hbai-lz2,global,,,
nsg-functionapp-oygf3jjanv6um,Microsoft.Network/networkSecurityGroups,rg-hbai-lz2,swedencentral,,,
nsg-pe-oygf3jjanv6um,Microsoft.Network/networkSecurityGroups,rg-hbai-lz2,swedencentral,,,
rt-apim-oygf3jjanv6um,Microsoft.Network/routeTables,rg-hbai-lz2,swedencentral,,,
nsg-apim-oygf3jjanv6um,Microsoft.Network/networkSecurityGroups,rg-hbai-lz2,swedencentral,,,
vnet-oygf3jjanv6um,Microsoft.Network/virtualNetworks,rg-hbai-lz2,swedencentral,,,
privatelink.azure-api.net/privateDnsZoneLink,Microsoft.Network/privateDnsZones/virtualNetworkLinks,rg-hbai-lz2,global,,,
privatelink.queue.core.windows.net/privateDnsZoneLink,Microsoft.Network/privateDnsZones/virtualNetworkLinks,rg-hbai-lz2,global,,,
privatelink.cognitiveservices.azure.com/privateDnsZoneLink,Microsoft.Network/privateDnsZones/virtualNetworkLinks,rg-hbai-lz2,global,,,
privatelink.file.core.windows.net/privateDnsZoneLink,Microsoft.Network/privateDnsZones/virtualNetworkLinks,rg-hbai-lz2,global,,,
privatelink.vaultcore.azure.net/privateDnsZoneLink,Microsoft.Network/privateDnsZones/virtualNetworkLinks,rg-hbai-lz2,global,,,
privatelink.table.core.windows.net/privateDnsZoneLink,Microsoft.Network/privateDnsZones/virtualNetworkLinks,rg-hbai-lz2,global,,,
privatelink.monitor.azure.com/privateDnsZoneLink,Microsoft.Network/privateDnsZones/virtualNetworkLinks,rg-hbai-lz2,global,,,
privatelink.blob.core.windows.net/privateDnsZoneLink,Microsoft.Network/privateDnsZones/virtualNetworkLinks,rg-hbai-lz2,global,,,
privatelink.openai.azure.com/privateDnsZoneLink,Microsoft.Network/privateDnsZones/virtualNetworkLinks,rg-hbai-lz2,global,,,
privatelink.documents.azure.com/privateDnsZoneLink,Microsoft.Network/privateDnsZones/virtualNetworkLinks,rg-hbai-lz2,global,,,
privatelink.servicebus.windows.net/privateDnsZoneLink,Microsoft.Network/privateDnsZones/virtualNetworkLinks,rg-hbai-lz2,global,,,
ampls-monitoring,microsoft.insights/privateLinkScopes,rg-hbai-lz2,global,,,
cosmos-oygf3jjanv6um,Microsoft.DocumentDB/databaseAccounts,rg-hbai-lz2,swedencentral,,,
evhns-oygf3jjanv6um,Microsoft.EventHub/namespaces,rg-hbai-lz2,swedencentral,,,
cog-consafety-oygf3jjanv6um,Microsoft.CognitiveServices/accounts,rg-hbai-lz2,swedencentral,,,
cog-language-oygf3jjanv6um,Microsoft.CognitiveServices/accounts,rg-hbai-lz2,swedencentral,,,
log-oygf3jjanv6um,Microsoft.OperationalInsights/workspaces,rg-hbai-lz2,swedencentral,,,
openai1-oygf3jjanv6um,Microsoft.CognitiveServices/accounts,rg-hbai-lz2,eastus,https://openai1-oygf3jjanv6um.openai.azure.com,,
cog-consafety-pe-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
cog-consafety-pe-oygf3jjanv6um.nic.362f5621-7089-4f8e-b445-60cac71f8e04,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
cog-language-pe-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
cog-openai-pe-0-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
cog-language-pe-oygf3jjanv6um.nic.84f08952-240d-4613-a8c4-b2ccabef85ef,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
evhns-pe-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
cog-openai-pe-0-oygf3jjanv6um.nic.48765cbb-03ec-42d9-a637-cf20df8674cc,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
appi-apim-oygf3jjanv6um,Microsoft.Insights/components,rg-hbai-lz2,swedencentral,,,
appi-func-oygf3jjanv6um,Microsoft.Insights/components,rg-hbai-lz2,swedencentral,,,
evhns-pe-oygf3jjanv6um.nic.0ce9364e-b2a3-4b7d-a6fd-17798f485380,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
openai2-oygf3jjanv6um,Microsoft.CognitiveServices/accounts,rg-hbai-lz2,northcentralus,https://openai2-oygf3jjanv6um.openai.azure.com,,
cosmos-pe-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
ampls-monitoring-pe,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
cosmos-pe-oygf3jjanv6um.nic.74cab1dc-e922-4d9e-869b-ec3ed1242ac2,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
ampls-monitoring-pe.nic.eecab5f0-6944-4860-b7aa-25d17b7fc282,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
cog-openai-pe-1-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
cog-openai-pe-1-oygf3jjanv6um.nic.befcd56b-338c-4df4-a763-b7fbae5042d3,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
openai3-oygf3jjanv6um,Microsoft.CognitiveServices/accounts,rg-hbai-lz2,swedencentral,https://openai3-oygf3jjanv6um.openai.azure.com,,
cog-openai-pe-2-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
cog-openai-pe-2-oygf3jjanv6um.nic.058ed7a0-4b58-4533-b212-fa1bc784b21c,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
apim-oygf3jjanv6um,Microsoft.ApiManagement/service,rg-hbai-lz2,swedencentral,,,
id-usage-oygf3jjanv6um,Microsoft.ManagedIdentity/userAssignedIdentities,rg-hbai-lz2,swedencentral,,,
funcusageoygf3jjanv6um,Microsoft.Storage/storageAccounts,rg-hbai-lz2,swedencentral,,,
stqueue-pe-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
